,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
93537,83BSG1,Bedrijfsauto,SCANIA,11/05/2021 12:00:00 AM,2021-11-05
93539,83BSG3,Bedrijfsauto,VOLVO,11/19/2021 12:00:00 AM,2021-11-19
93542,83BSG6,Bedrijfsauto,SCANIA,11/16/2021 12:00:00 AM,2021-11-16
93543,83BSG7,Bedrijfsauto,SCANIA,12/09/2021 12:00:00 AM,2021-12-09
93548,83BSH1,Bedrijfsauto,VOLVO,12/16/2021 12:00:00 AM,2021-12-16
93551,83BSH4,Bedrijfsauto,VOLVO,12/02/2021 12:00:00 AM,2021-12-02
93554,83BSH7,Bedrijfsauto,DAF,12/07/2021 12:00:00 AM,2021-12-07
93560,83BSJ2,Bedrijfsauto,IVECO,12/14/2021 12:00:00 AM,2021-12-14
93561,83BSJ3,Bedrijfsauto,VOLVO,12/16/2021 12:00:00 AM,2021-12-16
93563,83BSJ5,Bedrijfsauto,SCANIA,11/24/2021 12:00:00 AM,2021-11-24
93565,83BSJ9,Bedrijfsauto,MAN,12/14/2021 12:00:00 AM,2021-12-14
93722,83BTG2,Bus,MERCEDES-BENZ,04/14/2021 12:00:00 AM,2021-04-14
111623,83MLPL,Motorfiets,TRIUMPH,01/08/2021 12:00:00 AM,2021-01-08
111806,83MNJR,Motorfiets,KTM,01/29/2021 12:00:00 AM,2021-01-29
111807,83MNJS,Motorfiets,MV AGUSTA,01/05/2021 12:00:00 AM,2021-01-05
111828,83MNLD,Motorfiets,PIAGGIO,01/14/2021 12:00:00 AM,2021-01-14
111836,83MNLP,Motorfiets,HONDA,01/04/2021 12:00:00 AM,2021-01-04
111838,83MNLS,Motorfiets,EYSINK,11/08/2021 12:00:00 AM,2021-11-08
111845,83MNNF,Motorfiets,KTM,01/09/2021 12:00:00 AM,2021-01-09
111857,83MNNX,Motorfiets,KAWASAKI,01/08/2021 12:00:00 AM,2021-01-08
