,Kenteken,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch
123666,82MNLP,Benzine,,,,,,,,,,,,,
123668,82MNLS,Benzine,,,,,,,,,,,,,
123674,82MNNF,Benzine,,,,,,,,,,,,,
123685,82MNNX,Benzine,,,,,,,,,,,,,
123687,82MNPB,Benzine,,,,,,,,,,,,,
123691,82MNPH,Benzine,,,,,,,,,,,,,
123695,82MNPN,Elektriciteit,,,,,,,,,,,,,
123698,82MNPT,Benzine,,,,,,,,,,,,,
123703,82MNRF,Benzine,,,,,,,,,,,,,
123707,82MNRK,Benzine,,,,,,,,,,,,,
123708,82MNRL,Benzine,,,,,,,,,,,,,
123709,82MNRN,Benzine,,,,,,,,,,,,,
123713,82MNRT,Benzine,,,,,,,,,,,,,
123714,82MNRV,Benzine,,,,,,,,,,,,,
123715,82MNRX,Benzine,,,,,,,,,,,,,
123720,82MNSJ,Benzine,,,,,,,,,,,,,
123721,82MNSK,Benzine,,,,,,,,,,,,,
123723,82MNSN,Benzine,,,,,,,,,,,,,
123726,82MNSV,Benzine,,,,,,,,,,,,,
123727,82MNSX,Benzine,,,,,,,,,,,,,
123728,82MNSZ,Benzine,,,,,,,,,,,,,
123730,82MNTD,Benzine,,,,,,,,,,,,,
123731,82MNTG,Benzine,,,,,,,,,,,,,
123734,82MNTK,Benzine,,,,,,,,,,,,,
123735,82MNTL,Benzine,,,,,,,,,,,,,
123737,82MNTP,Benzine,,,,,,,,,,,,,
123738,82MNTR,Benzine,,,,,,,,,,,,,
123743,82MNTZ,Benzine,,,,,,,,,,,,,
123744,82MNVB,Benzine,,,,,,,,,,,,,
123746,82MNVF,Benzine,,,,,,,,,,,,,
123748,82MNVH,Benzine,,,,,,,,,,,,,
123750,82MNVK,Benzine,,,,,,,,,,,,,
123751,82MNVL,Benzine,,,,,,,,,,,,,
123752,82MNVN,Benzine,,,,,,,,,,,,,
123755,82MNVS,Benzine,,,,,,,,,,,,,
123758,82MNVX,Benzine,,,,,,,,,,,,,
123761,82MNXD,Benzine,,,,,,,,,,,,,
123762,82MNXF,Benzine,,,,,,,,,,,,,
123766,82MNXK,Benzine,,,,,,,,,,,,,
123767,82MNXL,Benzine,,,,,,,,,,,,,
123768,82MNXN,Benzine,,,,,,,,,,,,,
123769,82MNXP,Benzine,,,,,,,,,,,,,
123773,82MNXV,Benzine,,,,,,,,,,,,,
123775,82MNXZ,Benzine,,,,,,,,,,,,,
123777,82MNZD,Benzine,,,,,,,,,,,,,
123783,82MNZL,Benzine,,,,,,,,,,,,,
123785,82MNZP,Benzine,,,,,,,,,,,,,
123787,82MNZV,Benzine,,,,,,,,,,,,,
123793,82MPBD,Benzine,,,,,,,,,,,,,
123794,82MPBF,Benzine,,,,,,,,,,,,,
123797,82MPBJ,Benzine,,,,,,,,,,,,,
123798,82MPBK,Benzine,,,,,,,,,,,,,
123799,82MPBL,Benzine,,,,,,,,,,,,,
123800,82MPBN,Benzine,,,,,,,,,,,,,
123801,82MPBP,Benzine,,,,,,,,,,,,,
123804,82MPBT,Benzine,,,,,,,,,,,,,
123805,82MPBV,Benzine,,,,,,,,,,,,,
123806,82MPBX,Benzine,,,,,,,,,,,,,
123807,82MPBZ,Benzine,,,,,,,,,,,,,
123810,82MPDF,Benzine,,,,,,,,,,,,,
123816,82MPDN,Benzine,,,,,,,,,,,,,
123817,82MPDP,Benzine,,,,,,,,,,,,,
123818,82MPDR,Benzine,,,,,,,,,,,,,
123820,82MPDT,Benzine,,,,,,,,,,,,,
123821,82MPDV,Benzine,,,,,,,,,,,,,
123822,82MPDX,Benzine,,,,,,,,,,,,,
123828,82MPFH,Benzine,,,,,,,,,,,,,
123829,82MPFJ,Benzine,,,,,,,,,,,,,
123834,82MPFR,Benzine,,,,,,,,,,,,,
123836,82MPFV,Benzine,,,,,,,,,,,,,
123837,82MPFX,Benzine,,,,,,,,,,,,,
123838,82MPFZ,Benzine,,,,,,,,,,,,,
123839,82MPGB,Benzine,,,,,,,,,,,,,
123840,82MPGD,Benzine,,,,,,,,,,,,,
123843,82MPGJ,Benzine,,,,,,,,,,,,,
123844,82MPGL,Benzine,,,,,,,,,,,,,
123847,82MPGR,Benzine,,,,,,,,,,,,,
123849,82MPGT,Benzine,,,,,,,,,,,,,
123850,82MPGV,Benzine,,,,,,,,,,,,,
123852,82MPHB,Benzine,,,,,,,,,,,,,
123853,82MPHD,Benzine,,,,,,,,,,,,,
123854,82MPHF,Benzine,,,,,,,,,,,,,
123855,82MPHG,Benzine,,,,,,,,,,,,,
123856,82MPHJ,Benzine,,,,,,,,,,,,,
123857,82MPHK,Benzine,,,,,,,,,,,,,
123859,82MPHN,Benzine,,,,,,,,,,,,,
123860,82MPHP,Benzine,,,,,,,,,,,,,
123861,82MPHR,Benzine,,,,,,,,,,,,,
123866,82MPHZ,Benzine,,,,,,,,,,,,,
123868,82MPJD,Benzine,,,,,,,,,,,,,
123871,82MPJH,Benzine,,,,,,,,,,,,,
123872,82MPJJ,Benzine,,,,,,,,,,,,,
123874,82MPJL,Benzine,,,,,,,,,,,,,
123875,82MPJN,Benzine,,,,,,,,,,,,,
123876,82MPJP,Benzine,,,,,,,,,,,,,
123881,82MPJX,Benzine,,,,,,,,,,,,,
123885,82MPKF,Benzine,,,,,,,,,,,,,
123887,82MPKH,Benzine,,,,,,,,,,,,,
123888,82MPKJ,Benzine,,,,,,,,,,,,,
123892,82MPKP,Benzine,,,,,,,,,,,,,
123896,82MPKV,Benzine,,,,,,,,,,,,,
123897,82MPKX,Benzine,,,,,,,,,,,,,
123898,82MPLB,Benzine,,,,,,,,,,,,,
123900,82MPLF,Benzine,,,,,,,,,,,,,
123903,82MPLJ,Benzine,,2.2,50.0,,,,,,,,,,
123905,82MPLL,Benzine,,,,,,,,,,,,,
123908,82MPLR,Benzine,,,,,,,,,,,,,
123910,82MPLT,Benzine,,,,,,,,,,,,,
123911,82MPLV,Benzine,,,,,,,,,,,,,
123913,82MPLZ,Benzine,,,,,,,,,,,,,
123915,82MPND,Benzine,,,,,,,,,,,,,
123918,82MPNH,Benzine,,,,,,,,,,,,,
123921,82MPNL,Benzine,,,,,,,,,,,,,
123922,82MPNN,Benzine,,,,,,,,,,,,,
123923,82MPNP,Benzine,,,,,,,,,,,,,
123924,82MPNR,Benzine,,,,,,,,,,,,,
123927,82MPNV,Benzine,,,,,,,,,,,,,
123934,82MPPH,Benzine,,,,,,,,,,,,,
123935,82MPPJ,Benzine,,,,,,,,,,,,,
123936,82MPPK,Benzine,,,,,,,,,,,,,
123937,82MPPL,Benzine,,,,,,,,,,,,,
123943,82MPPX,Benzine,,,,,,,,,,,,,
123951,82MPRK,Benzine,,,,,,,,,,,,,
123959,82MPRX,Benzine,,,,,,,,,,,,,
123961,82MPSB,Benzine,,,,,,,,,,,,,
123963,82MPSG,Benzine,,,,,,,,,,,,,
123965,82MPSJ,Benzine,,,,,,,,,,,,,
123966,82MPSK,Benzine,,,,,,,,,,,,,
123968,82MPSN,Benzine,,,,,,,,,,,,,
123970,82MPSR,Benzine,,,,,,,,,,,,,
123971,82MPST,Benzine,,,,,,,,,,,,,
123979,82MPTH,Benzine,,,,,,,,,,,,,
123980,82MPTJ,Benzine,,,,,,,,,,,,,
123981,82MPTK,Benzine,,,,,,,,,,,,,
123982,82MPTL,Benzine,,,,,,,,,,,,,
123984,82MPTP,Benzine,,,,,,,,,,,,,
123991,82MPVB,Benzine,,,,,,,,,,,,,
